asn,org,country,vpn_signals,tor_signals,public_feed_overlap,confidence,sources
3842,RAMNODE,US,1,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
5384,EMIRATES TELECOMMUNICATIONS GROUP COMPANY (ETISALAT GROUP) PJSC,AE,0,2,1,low,tor-radar-network
6315,"XMission, L.C.",US,0,2,1,low,tor-radar-network
6364,ATLANTIC-NET-1,US,2,0,1,low,asn-vpn-multi-provider
6661,POST Luxembourg,LU,0,2,1,low,tor-radar-network
6855,"Slovak Telekom, a.s.",SK,0,2,1,low,tor-radar-network
8422,NetCologne Gesellschaft fur Telekommunikation mbH,DE,0,2,1,low,tor-radar-network
8447,A1 Telekom Austria AG,AT,0,2,1,low,tor-radar-network
8455,atom86 BV,NL,0,2,1,low,tor-radar-network
8495,INTERNET AG Global Network,DE,0,2,1,low,tor-radar-network
8764,"Telia Lietuva, AB",LT,0,2,1,low,tor-radar-network
8943,Jump Networks Ltd,GB,0,2,1,low,tor-radar-network
8972,Host Europe GmbH,DE,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
9044,BSE Software GmbH,CH,0,2,1,low,tor-radar-network
9286,KINX,KR,0,2,1,low,tor-radar-network
9378,JCOM Co. Ltd.,JP,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
10929,ESTRUXTURE-QC-10929,CA,1,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
11404,Wave Broadband,US,0,2,1,low,tor-radar-network
11572,PhoenixNAP LLC,US,0,2,1,low,tor-radar-network
12093,University of Waterloo,CA,0,2,1,low,tor-radar-network
12271,Charter Communications Inc,US,0,2,1,low,tor-radar-network
12338,Euskaltel S.A.,ES,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
12586,GHOSTnet GmbH,DE,0,2,1,low,tor-radar-network
12989,Black HOST Ltd,NL,0,2,1,low,tor-radar-network
13113,ISI Line srl,IT,0,2,1,low,tor-radar-network
13692,Douglas FastNet,US,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
14586,NUCLEARFALLOUT-CHI,US,2,0,1,low,asn-vpn-multi-provider
14618,"Amazon.com, Inc.",US,0,2,1,low,tor-radar-network
15440,BALTNETA Customers AS,LT,2,0,1,low,asn-vpn-multi-provider
15502,Vodafone Ireland Limited,IE,0,2,1,low,tor-radar-network
15600,Quickline AG,CH,0,2,1,low,tor-radar-network
17676,SoftBank Corp.,JP,0,2,1,low,tor-radar-network
19901,Brightspeed,US,0,2,1,low,tor-radar-network
20712,Andrews & Arnold Ltd,GB,0,2,1,low,tor-radar-network
21412,"UAB ""Cgates""",LT,0,2,1,low,tor-radar-network
21949,Beanfield Technologies Inc.,CA,0,2,1,low,tor-radar-network
23655,Two Degrees Mobile Limited,NZ,0,2,1,low,tor-radar-network
23969,TOT Public Company Limited,TH,0,2,1,low,tor-radar-network
24800,BornFiber Service Provider ApS,DK,0,2,1,low,tor-radar-network
25400,Telia Norge AS,NO,0,2,1,low,tor-radar-network
26277,ServerPoint.com,US,0,2,1,low,tor-radar-network
27323,SERVERSTADIUM,US,2,0,1,low,asn-vpn-multi-provider
29169,GANDI SAS,LU,0,2,1,low,tor-radar-network
29259,IABG Teleport GmbH,DE,0,2,1,low,tor-radar-network
29302,HSI-EUROPE,US,2,0,1,low,asn-vpn-multi-provider
29580,A1BG_RSG A1 EAD,BG,1,1,2,low,"asn-vpn-multi-provider,tor-radar-network"
30736,ASERGO-AS,DK,2,0,1,low,asn-vpn-multi-provider
32374,NUCLEARFALLOUT-LAX,US,2,0,1,low,asn-vpn-multi-provider
33796,BOLIGNET-AARHUS F.M.B.A.,DK,0,2,1,low,tor-radar-network
33943,Eri Internet s.r.o.,CZ,0,2,1,low,tor-radar-network
34244,Teleservice Bredband Skane AB,SE,0,2,1,low,tor-radar-network
34702,Aktsiaselts WaveCom,EE,0,2,1,low,tor-radar-network
34878,Karlsruhe Institute of Technology,DE,0,2,1,low,tor-radar-network
34927,iFog GmbH,ES,0,2,1,low,tor-radar-network
38074,Ayao Takata,JP,0,2,1,low,tor-radar-network
38700,SMILESERV,KR,0,2,1,low,tor-radar-network
39392,SH.cz s.r.o.,CZ,0,2,1,low,tor-radar-network
39405,Eurofiber France SAS,FR,0,2,1,low,tor-radar-network
39699,Lounea Palvelut Oy,FI,0,2,1,low,tor-radar-network
40029,Novus Entertainment Inc.,CA,0,2,1,low,tor-radar-network
41108,comtrance service GmbH,DE,0,2,1,low,tor-radar-network
41608,"NextGenWebs, S.L.",NL,0,2,1,low,tor-radar-network
41634,Svea Hosting AB,SE,0,2,1,low,tor-radar-network
42160,LCPDCO LCP AS dc oostkamp,BE,2,0,1,low,asn-vpn-multi-provider
42532,SIA VEESP,LV,0,2,1,low,tor-radar-network
42541,Fiberby ApS,DK,0,2,1,low,tor-radar-network
43150,MK Netzdienste Verwaltungs GmbH trading as MK Netzdienste GmbH & Co. KG,DE,0,2,1,low,tor-radar-network
43341,MDlink online service center GmbH,DE,0,2,1,low,tor-radar-network
43541,VSHosting s.r.o.,CZ,0,2,1,low,tor-radar-network
44066,DE-FIRSTCOLO firstcolo.net,DE,2,0,1,low,asn-vpn-multi-provider
44869,FIBIA P/S,DK,0,2,1,low,tor-radar-network
45146,RAJASA-AS-ID-AP PT. Raja Sepadan Abadi,ID,2,0,1,low,asn-vpn-multi-provider
45731,"ARDH GLOBAL INDONESIA, PT",ID,0,2,1,low,tor-radar-network
46841,"Fork Networking, LLC",US,0,2,1,low,tor-radar-network
47638,Cadence Networks Ltd,GB,0,2,1,low,tor-radar-network
48693,Rices Privately owned enterprise,UA,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
48732,Martial Duboc,FR,0,2,1,low,tor-radar-network
48900,Info Data Center Ltd.,BG,0,2,1,low,tor-radar-network
49447,Nice IT Services Group Inc.,NL,0,2,1,low,tor-radar-network
50867,ORG-LVA15-AS,NL,2,0,1,low,asn-vpn-multi-provider
51724,Flynet Ltd,RU,0,2,1,low,tor-radar-network
51758,ProcoliX B.V.,NL,0,2,1,low,tor-radar-network
53006,ALGAR TELECOM S/A,BR,0,2,1,low,tor-radar-network
54600,PEG TECH INC,US,0,2,1,low,tor-radar-network
54913,"Kamatera, Inc.",CA,0,2,1,low,tor-radar-network
56030,Voyager Internet Ltd.,NZ,0,2,1,low,tor-radar-network
56153,Digital Storage Company Limited,VN,0,2,1,low,tor-radar-network
56478,Hyperoptic Ltd,GB,0,2,1,low,tor-radar-network
57494,Adman LLC,RU,0,2,1,low,tor-radar-network
58940,DEDAUS-AS-AP Dedicated Servers Australia,AU,2,0,1,low,asn-vpn-multi-provider
59432,GINERNET,ES,2,0,1,low,asn-vpn-multi-provider
61098,Akenes SA,BG,0,2,1,low,tor-radar-network
61112,AKILE LTD,HK,0,2,1,low,tor-radar-network
63452,VELOCIHOST,US,2,0,1,low,asn-vpn-multi-provider
63770,Industrial Cyber Security Center of Excellence,JP,0,2,1,low,tor-radar-network
64236,"UnReal Servers, LLC",US,0,2,1,low,tor-radar-network
64457,Matteo Fruhwald trading as PipeHost e.U.,AT,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
131965,Xserver Inc.,JP,0,2,1,low,tor-radar-network
134677,Dromatics Systems Pte Ltd,SG,0,2,1,low,tor-radar-network
137373,IDNIC-SUITEN-AS-ID PT. SUITEN INOVASI SUKSES,ID,2,0,1,low,asn-vpn-multi-provider
138199,TRANSATEL1-AS-AP Transatel,FR,2,0,1,low,asn-vpn-multi-provider
197328,ISTANBULDC1,GE,2,0,1,low,asn-vpn-multi-provider
197524,Leonet GmbH,DE,0,2,1,low,tor-radar-network
198203,ASN-ROUTELABEL,NL,2,0,1,low,asn-vpn-multi-provider
199087,KaseNet Oy,FI,0,2,1,low,tor-radar-network
199173,TechnoLux Ltd.,BG,0,2,1,low,tor-radar-network
199415,Association YORKHOST,FR,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
200533,Civil association Init Lab,BG,0,2,1,low,tor-radar-network
200736,MEDIANET INVEST AE,GR,0,2,1,low,tor-radar-network
201011,CORE-BACKBONE CORE-BACKBONE GMBH GLOBAL NETWORK,DE,2,0,1,low,asn-vpn-multi-provider
201838,Community Fibre Limited,GB,0,2,1,low,tor-radar-network
201924,LERTAS-AS,SK,2,0,1,low,asn-vpn-multi-provider
202302,NETH LLC,UA,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
202520,SkyPass Solutions Sp. z.o.o.,PL,0,2,1,low,tor-radar-network
202616,Wien Energie GmbH,AT,0,2,1,low,tor-radar-network
202870,Dimensione S.r.l.,IT,0,2,1,low,tor-radar-network
205007,Maxim Azarov trading as eServer,RS,0,2,1,low,tor-radar-network
205053,AWEB-ASN,GR,2,0,1,low,asn-vpn-multi-provider
205759,Ghosty Networks LLC,UA,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
206075,Hollander & Jacobsen UG (haftungsbeschraenkt),NL,0,2,1,low,tor-radar-network
207459,TEKNOSOS BILISIM HIZMETLERI VE TIC. LTD. STI.,TR,0,2,1,low,tor-radar-network
209378,INIOS-AS,FI,2,0,1,low,asn-vpn-multi-provider
209641,IHOR HOSTING LTD,RU,0,2,1,low,tor-radar-network
211720,"Datashield, Inc.",SC,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
211882,AQUILENET,FR,0,2,1,low,tor-radar-network
212219,HOSTING DUNYAM BILISIM TEKNOLOJILERI TICARET LIMITED SIRKETI,TR,0,2,1,low,tor-radar-network
212271,Cinzia Tocci trading as Lumanex Srl,IT,0,2,1,low,tor-radar-network
213281,Greenfiber Internet & Dienste GmbH,DE,0,2,1,low,tor-radar-network
213354,INTERNATIONAL HOSTING SOLUTIONS LLP,CZ,0,2,1,low,tor-radar-network
213791,XeniaGroup SRL,IT,0,2,1,low,tor-radar-network
213881,OUR Technology LLC,AZ,0,2,1,low,tor-radar-network
214504,Hostman LTD,DE,0,2,1,low,tor-radar-network
214576,Berdiev Ruslan Mukhabatovich,DE,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
214639,Raul Ghita trading as 'Ghita Telekom',DE,0,2,1,low,tor-radar-network
215904,HostingBazis Beteti Tarsasag,HU,0,2,1,low,tor-radar-network
216071,SERVERS TECH FZCO,NL,0,1,2,low,"bad-cidrs-v4,tor-radar-network"
216127,INTERNATIONAL HOSTING COMPANY LIMITED,DE,0,1,2,low,"spamhaus-asndrop,tor-radar-network"
216188,Bieber IT GmbH,DE,0,2,1,low,tor-radar-network
329268,SS7-AS,TN,2,0,1,low,asn-vpn-multi-provider
393238,"ImOn Communications, LLC",US,0,2,1,low,tor-radar-network
393577,Tritan Development,US,0,2,1,low,tor-radar-network
395510,"Hub66, Inc",US,0,2,1,low,tor-radar-network
396362,"Leaseweb USA, Inc.",US,0,2,1,low,tor-radar-network
398256,"Ultahost, Inc.",US,0,2,1,low,tor-radar-network
398721,OXIO,CA,0,2,1,low,tor-radar-network
399275,Solid Systems LLC,US,0,2,1,low,tor-radar-network
399804,Hostodo,US,0,2,1,low,tor-radar-network
400771,Codehof LLC,US,0,2,1,low,tor-radar-network
9,Carnegie Mellon University,US,0,1,1,low,tor-radar-network
32,Stanford University,US,0,1,1,low,tor-radar-network
88,Princeton University,US,0,1,1,low,tor-radar-network
160,The University of Chicago,US,0,1,1,low,tor-radar-network
812,Rogers Communications Canada Inc.,CA,0,1,1,low,tor-radar-network
823,University of Western Ontario,CA,0,1,1,low,tor-radar-network
1002,Bytefilter LLC,US,0,1,1,low,tor-radar-network
1101,SURF B.V.,NL,0,1,1,low,tor-radar-network
1102,SURF B.V.,NL,0,1,1,low,tor-radar-network
1133,SURF B.V.,NL,0,1,1,low,tor-radar-network
1213,ASIERA TECHNOLOGY SERVICES CLG,IE,0,1,1,low,tor-radar-network
1659,Taiwan Academic Network (TANet) Information Center,TW,0,1,1,low,tor-radar-network
1781,Korea Advanced Institute of Science and Technology,KR,0,1,1,low,tor-radar-network
1836,green.ch AG,CH,0,1,1,low,tor-radar-network
2033,Panix,US,0,1,1,low,tor-radar-network
2116,GLOBALCONNECT AS,NO,0,1,1,low,tor-radar-network
2603,NORDUnet,DK,0,1,1,low,tor-radar-network
2614,Agentia de Administrare a Retelei Nationale de Informatica pentru Educatie si Cercetare,RO,0,1,1,low,tor-radar-network
3061,ProvDotNet LLC,US,0,1,1,low,tor-radar-network
3164,Astimp IT Solution SRL,RO,0,1,1,low,tor-radar-network
3242,REEVO S.P.A.,IT,0,1,1,low,tor-radar-network
3399,Obenet AB,SE,0,1,1,low,tor-radar-network
3927,RGnet OU,US,0,1,1,low,tor-radar-network
4181,TDS TELECOM,US,0,1,1,low,tor-radar-network
4319,Cortland Electronics Corp.,US,0,1,1,low,tor-radar-network
4685,"Asahi Net, Inc.",JP,0,1,1,low,tor-radar-network
4739,iiNet Limited,AU,0,1,1,low,tor-radar-network
4922,Shenandoah Cable Television LLC,US,0,1,1,low,tor-radar-network
5056,Aureon Network Services,US,0,1,1,low,tor-radar-network
5390,Euronet Communications B.V.,NL,0,1,1,low,tor-radar-network
5404,conova communications GmbH,AT,0,1,1,low,tor-radar-network
5466,Eircom Limited,IE,0,1,1,low,tor-radar-network
5603,"Telekom Slovenije, d.d.",SI,0,1,1,low,tor-radar-network
6057,Administracion Nacional de Telecomunicaciones,UY,0,1,1,low,tor-radar-network
6428,CDM,US,1,0,1,low,asn-vpn-multi-provider
6696,VERIXI SA,BE,0,1,1,low,tor-radar-network
6703,"PRIVATE JOINT-STOCK COMPANY ""FARLEP-INVEST""",UA,0,1,1,low,tor-radar-network
6799,Ote SA (Hellenic Telecommunications Organisation),GR,0,1,1,low,tor-radar-network
6810,"""Bezeq""- THE ISRAEL TELECOMMUNICATION CORP. LTD.",IL,0,1,1,low,tor-radar-network
6849,"JSC ""Ukrtelecom""",UA,0,1,1,low,tor-radar-network
7377,"University of California, San Diego",US,0,1,1,low,tor-radar-network
7393,CYBERCON INC.,CA,0,1,1,low,tor-radar-network
7506,GMO Internet INC.,JP,0,1,1,low,tor-radar-network
7552,Viettel Group,VN,0,1,1,low,tor-radar-network
7765,Koumbit,CA,0,1,1,low,tor-radar-network
7992,Cogeco Connexion Inc.,CA,0,1,1,low,tor-radar-network
8048,CANTV Servicios Venezuela,VE,0,1,1,low,tor-radar-network
8218,Zayo Infrastructure France SA,AT,0,1,1,low,tor-radar-network
8254,GREEN FLOID LLC,GR,0,1,1,low,tor-radar-network
8339,kabelplus GmbH,AT,0,1,1,low,tor-radar-network
8437,Hutchison Drei Austria GmbH,AT,0,1,1,low,tor-radar-network
8632,Luxembourg Online S.A.,LU,0,1,1,low,tor-radar-network
8717,A1 Bulgaria EAD,BG,0,1,1,low,tor-radar-network
8820,tal.de GmbH,DE,0,1,1,low,tor-radar-network
8860,Delta HighTech Ltd.,BG,0,1,1,low,tor-radar-network
8873,Alexander Wagberg trading as Wberg Networks,SE,0,1,1,low,tor-radar-network
8916,Portfast Ltd,GB,0,1,1,low,tor-radar-network
9050,ORANGE ROMANIA COMMUNICATION S.A,RO,0,1,1,low,tor-radar-network
9063,VSE NET GmbH,DE,0,1,1,low,tor-radar-network
9158,Telenor A/S,DK,0,1,1,low,tor-radar-network
9198,JSC Kazakhtelecom,KZ,0,1,1,low,tor-radar-network
9269,Hong Kong Broadband Network Limited,HK,0,1,1,low,tor-radar-network
9371,SAKURA internet // WEST JAPAN BACKBONE,JP,0,1,1,low,tor-radar-network
9416,Hoshin Multimedia Center Inc.,TW,0,1,1,low,tor-radar-network
9506,"Singapore Telecommunications Ltd, Magix Services",SG,0,1,1,low,tor-radar-network
9534,Maxis Broadband Sdn Bhd,MY,0,1,1,low,tor-radar-network
9617,JCOM Co. Ltd.,JP,0,1,1,low,tor-radar-network
10013,"FreeBit Co,Ltd.",JP,0,1,1,low,tor-radar-network
10143,SUPERLOOP (AUSTRALIA) PTY LTD,AU,0,1,1,low,tor-radar-network
10297,ENET-2,US,1,0,1,low,asn-vpn-multi-provider
10489,"Armour Cloud, LLC",US,0,1,1,low,tor-radar-network
10961,Boston GigaPoP,US,0,1,1,low,tor-radar-network
10996,Concorde inc.,CA,0,1,1,low,tor-radar-network
11062,Metro Communications Company,US,0,1,1,low,tor-radar-network
11117,"Nuyek, LLC",US,0,1,1,low,tor-radar-network
11272,C Spire Fiber,US,0,1,1,low,tor-radar-network
11847,GoNetSpeed,US,0,1,1,low,tor-radar-network
12129,"123.Net, Inc.",US,0,1,1,low,tor-radar-network
12161,"dao Consulting, LLC",US,0,1,1,low,tor-radar-network
12302,Vodafone Romania S.A.,RO,0,1,1,low,tor-radar-network
12337,noris network AG,DE,0,1,1,low,tor-radar-network
12355,HeLi NET Telekommunikation GmbH & Co.,DE,0,1,1,low,tor-radar-network
12364,"University of Macedonia, Economic and Social Sciences",GR,0,1,1,low,tor-radar-network
12508,Rainside s.r.o.,SK,0,1,1,low,tor-radar-network
12552,GlobalConnect AB,SE,0,1,1,low,tor-radar-network
12578,SIA Tet,LV,0,1,1,low,tor-radar-network
12605,LIWEST Kabelmedien GmbH,AT,0,1,1,low,tor-radar-network
12731,IPHH Internet Port Hamburg GmbH,DE,0,1,1,low,tor-radar-network
12741,Netia SA,PL,0,1,1,low,tor-radar-network
13000,Leon Sp. z o.o.,PL,0,1,1,low,tor-radar-network
13022,Streams Telecommunicationsservices GmbH,AT,0,1,1,low,tor-radar-network
13101,TNG Stadtnetz GmbH,DE,0,1,1,low,tor-radar-network
13110,INEA sp. z o.o.,PL,0,1,1,low,tor-radar-network
13170,Kaisanet Oy,FI,0,1,1,low,tor-radar-network
13308,Peter Olsson,SE,0,1,1,low,tor-radar-network
13428,"Surf Air Wireless, LLC",US,0,1,1,low,tor-radar-network
13868,Peak Internet,US,0,1,1,low,tor-radar-network
14237,Beamspeed LLC,US,0,1,1,low,tor-radar-network
14522,SERVICIOS DE TELECOMUNICACIONES SETEL S.A. (XTRIM EC),EC,0,1,1,low,tor-radar-network
14638,Liberty Communications of Puerto Rico LLC,PR,0,1,1,low,tor-radar-network
14670,WHG Hosting Services Ltd,NL,0,1,1,low,tor-radar-network
14868,Ligga Telecomunicações S.A.,BR,0,1,1,low,tor-radar-network
15366,DNS:NET Internet Service GmbH,DE,0,1,1,low,tor-radar-network
15461,"NVTOV ""SOLVER""",UA,0,1,1,low,tor-radar-network
15547,netplus.ch SA,CH,0,1,1,low,tor-radar-network
15614,Dragon Internet a.s.,CZ,0,1,1,low,tor-radar-network
15962,Orange Slovensko a.s.,SK,0,1,1,low,tor-radar-network
16010,Magticom Ltd.,GE,0,1,1,low,tor-radar-network
16075,TAZ Verlags- und Vertriebsgesellschaft mit beschraenkter Haftung Berlin,DE,0,1,1,low,tor-radar-network
16097,HL komm Telekommunikations GmbH,DE,0,1,1,low,tor-radar-network
16302,Suomi Communications Oy,FI,0,1,1,low,tor-radar-network
16652,Riseup Networks,US,0,1,1,low,tor-radar-network
16904,Arvig Enterprises Inc.,US,0,1,1,low,tor-radar-network
17055,University of Utah,US,0,1,1,low,tor-radar-network
17290,"Austin Hadley, Sole Proprietorship",US,0,1,1,low,tor-radar-network
17356,"Vermont Telephone Company, Inc.",US,0,1,1,low,tor-radar-network
17506,UCOM Corp.,JP,0,1,1,low,tor-radar-network
17511,OPTAGE Inc.,JP,0,1,1,low,tor-radar-network
17551,Anycast Holdings Pty Ltd,AU,0,1,1,low,tor-radar-network
17931,"Netforest,Inc.",JP,0,1,1,low,tor-radar-network
18041,Taiwna Digital Streaming Co.,TW,0,1,1,low,tor-radar-network
18106,Viewqwest Pte Ltd,SG,0,1,1,low,tor-radar-network
18229,CtrlS,IN,0,1,1,low,tor-radar-network
18624,Greenlight,US,0,1,1,low,tor-radar-network
19045,"Direct Communications Cedar Valley, LLC",US,0,1,1,low,tor-radar-network
19165,Webpass Inc.,US,0,1,1,low,tor-radar-network
19504,"WTC Communications, Inc.",US,0,1,1,low,tor-radar-network
19994,Rackspace Hosting,US,0,1,1,low,tor-radar-network
20394,Rainier Connect,US,0,1,1,low,tor-radar-network
20676,Plusnet GmbH,DE,0,1,1,low,tor-radar-network
20904,Cinia Oy,FI,0,1,1,low,tor-radar-network
21211,"Penkiu kontinentu komunikaciju centras, Ltd.",LT,0,1,1,low,tor-radar-network
21334,One Hungary Ltd.,HU,0,1,1,low,tor-radar-network
21581,M5HOSTING,US,1,0,1,low,asn-vpn-multi-provider
22047,VTR BANDA ANCHA S.A.,CL,0,1,1,low,tor-radar-network
22296,Vorsk LLC,US,0,1,1,low,tor-radar-network
22555,"Smart Networks,LLC",PR,0,1,1,low,tor-radar-network
22653,Cyber Wurx LLC,US,0,1,1,low,tor-radar-network
22987,BrightRidge,US,0,1,1,low,tor-radar-network
23033,Wowrack.com,US,0,1,1,low,tor-radar-network
23310,TASTY LIME,US,0,1,1,low,tor-radar-network
23473,PAVLOV MEDIA INC,US,0,1,1,low,tor-radar-network
24282,KAGOYA Japan Inc.,JP,0,1,1,low,tor-radar-network
24309,"Atria Convergence Technologies Pvt. Ltd.,",IN,0,1,1,low,tor-radar-network
24482,SG.GS,SG,0,1,1,low,tor-radar-network
24560,Bharti Airtel Limited,IN,0,1,1,low,tor-radar-network
24875,NovoServe B.V.,NL,0,1,1,low,tor-radar-network
24953,NETPLANET GmbH,AT,0,1,1,low,tor-radar-network
25274,Naracom Kft.,HU,0,1,1,low,tor-radar-network
25353,BAR Informatik AG,CH,0,1,1,low,tor-radar-network
25512,CD-Telematika a.s.,CZ,0,1,1,low,tor-radar-network
25795,"ARP NETWORKS, INC.",US,0,1,1,low,tor-radar-network
25853,Ellijay Telephone Company,US,0,1,1,low,tor-radar-network
26068,"OnShore, Inc.",US,0,1,1,low,tor-radar-network
26527,LightWave Networks,US,0,1,1,low,tor-radar-network
26599,TELEFÔNICA BRASIL S.A,BR,0,1,1,low,tor-radar-network
26666,"Interserver, Inc",US,0,1,1,low,tor-radar-network
26727,Brandenburg Telephone Company,US,0,1,1,low,tor-radar-network
26801,"Zito Media, L.P.",US,0,1,1,low,tor-radar-network
27364,Armstrong,US,0,1,1,low,tor-radar-network
27823,Dattatec.com,AR,0,1,1,low,tor-radar-network
27956,Cyber Cast International S.A.,PA,0,1,1,low,tor-radar-network
28855,Octopuce s.a.r.l.,FR,0,1,1,low,tor-radar-network
28886,RETN Limited,LV,0,1,1,low,tor-radar-network
29485,A1 Hrvatska d.o.o.,HR,0,1,1,low,tor-radar-network
29974,Wightman Telecom,CA,0,1,1,low,tor-radar-network
30766,GGew net GmbH,DE,0,1,1,low,tor-radar-network
30823,aurologic GmbH,DE,0,1,1,low,tor-radar-network
30983,CNRST (Centre National pour la Recherche Scientifique et Technique),MA,0,1,1,low,tor-radar-network
31122,DIGIWEB-AS,IE,1,0,1,low,asn-vpn-multi-provider
31242,P4 Sp. z o.o.,PL,0,1,1,low,tor-radar-network
31246,"O2 Czech Republic, a.s.",CZ,0,1,1,low,tor-radar-network
31371,Wissenschaftsladen Dortmund e.V.,DE,0,1,1,low,tor-radar-network
31469,Virtual Systems LLC,MD,0,1,1,low,tor-radar-network
31775,"Greenlight Networks, LLC",US,0,1,1,low,tor-radar-network
32133,Ting Fiber Inc.,CA,0,1,1,low,tor-radar-network
32167,LSHIY LLC,HK,0,1,1,low,tor-radar-network
32338,Hostiserver Ltd,NL,0,1,1,low,tor-radar-network
32723,Archtop Fiber,US,0,1,1,low,tor-radar-network
33255,Hampden-Sydney College,US,0,1,1,low,tor-radar-network
33588,Charter Communications LLC,US,0,1,1,low,tor-radar-network
33885,Telenor Sverige AB,SE,0,1,1,low,tor-radar-network
33984,Surfplanet GmbH,DE,0,1,1,low,tor-radar-network
34362,Terrakom d.o.o.,HR,0,1,1,low,tor-radar-network
34694,Stadtwerke Woergl GmbH,AT,0,1,1,low,tor-radar-network
34700,"MAXNET TELECOM, LTD",UA,0,1,1,low,tor-radar-network
34779,"T-2, d.o.o.",SI,0,1,1,low,tor-radar-network
34911,ELDATA prazska s.r.o.,CZ,0,1,1,low,tor-radar-network
35042,Layer7 Networks GmbH,BG,0,1,1,low,tor-radar-network
35244,Tele Columbus AG,DE,0,1,1,low,tor-radar-network
35369,LINZ STROM GAS WAERME GmbH fuer Energiedienstleistungen und Telekommunikation,AT,0,1,1,low,tor-radar-network
35425,Iomart Managed Services Limited,GB,0,1,1,low,tor-radar-network
35426,NXT Initiative SAS,FR,0,1,1,low,tor-radar-network
35434,PirxNet Grzegorz Bialas,PL,0,1,1,low,tor-radar-network
35470,Signet B.V.,NL,0,1,1,low,tor-radar-network
35680,Volia-Cable LLC,UA,0,1,1,low,tor-radar-network
36012,HUNTER COMMUNICATIONS,US,0,1,1,low,tor-radar-network
36103,"Central Utah Telephone, Inc.",US,0,1,1,low,tor-radar-network
36114,VERSAWEB-ASN,US,1,0,1,low,asn-vpn-multi-provider
36375,University of Michigan,US,0,1,1,low,tor-radar-network
39375,Telekomunikacja Podlasie Sp. z o.o.,PL,0,1,1,low,tor-radar-network
39409,Sebastian-Wilhelm Graf,NL,0,1,1,low,tor-radar-network
39622,ZERGRUSH SRL,RO,0,1,1,low,tor-radar-network
39788,Chaos Computer Club e.V.,DE,0,1,1,low,tor-radar-network
39819,Optima Telecom Ltd.,KG,0,1,1,low,tor-radar-network
41319,SOFT PRO 2 Sp. z o.o.,PL,0,1,1,low,tor-radar-network
41653,Aqua Ray SAS,FR,0,1,1,low,tor-radar-network
42487,Vialis SEM,FR,0,1,1,low,tor-radar-network
42652,inexio Informationstechnologie und Telekommunikation Gmbh,DE,0,1,1,low,tor-radar-network
42807,CIZGI TELEKOMUNIKASYON ANONIM SIRKETI,TR,0,1,1,low,tor-radar-network
42927,S-NET Sp. z o.o.,PL,0,1,1,low,tor-radar-network
43067,"PE ""Pretcher""",UA,0,1,1,low,tor-radar-network
43118,East & West Sp. z o.o.,PL,0,1,1,low,tor-radar-network
43139,Maximum-Net LLC,UA,0,1,1,low,tor-radar-network
43180,Trunk Networks LTD,SG,0,1,1,low,tor-radar-network
43376,DOTRO TELECOM SRL,RO,0,1,1,low,tor-radar-network
43529,ViDaNet Cabletelevision Provider Ltd.,HU,0,1,1,low,tor-radar-network
43619,Association pour l'union des reseaux des residences etudiantes (AURORE),FR,0,1,1,low,tor-radar-network
43653,"PEGO Slovakia, s.r.o.",SK,0,1,1,low,tor-radar-network
43927,HOSTERION SRL,NL,0,1,1,low,tor-radar-network
44489,"STARNET, s.r.o.",CZ,0,1,1,low,tor-radar-network
44684,Mythic Beasts Ltd,GB,0,1,1,low,tor-radar-network
44716,D-hosting die Rackspace & Connectivity GmbH,DE,0,1,1,low,tor-radar-network
44820,Denis Pavlovich Semenyuk,UA,0,1,1,low,tor-radar-network
45007,VIPNET PRIM Ltd,BG,0,1,1,low,tor-radar-network
45032,FABIT-AS,DK,1,0,1,low,asn-vpn-multi-provider
45037,Propelin Consulting S.L.U.,ES,0,1,1,low,tor-radar-network
45413,SERVENET-AS-TH-AP ServeNET Solution Limited Partnership,TH,1,0,1,low,asn-vpn-multi-provider
46632,Southwest Arkansas Telephone Cooperative,US,0,1,1,low,tor-radar-network
46887,Crown Castle Fiber LLC,US,0,1,1,low,tor-radar-network
46979,Madison County Telephone Company,US,0,1,1,low,tor-radar-network
47272,HYEHOST LTD,GB,0,1,1,low,tor-radar-network
47325,VPS4You Kft.,HU,0,1,1,low,tor-radar-network
47474,Virtual1 Limited,GB,0,1,1,low,tor-radar-network
47521,IPHOST .GR IpDomain,GR,1,0,1,low,asn-vpn-multi-provider
47536,PathConnect GmbH,DE,0,1,1,low,tor-radar-network
47544,IQ PL Sp. z o.o.,PL,0,1,1,low,tor-radar-network
47692,Nessus GmbH,AT,0,1,1,low,tor-radar-network
48040,Fornex Hosting S.L.,SE,0,1,1,low,tor-radar-network
